genes	Goterms	Annotation GO Category
A0A1D8NEN8	base-excision repair	Biological Process
A0A1D8NEN8	double-strand break repair via nonhomologous end joining	Biological Process
A0A1D8NEN8	telomere maintenance via telomerase	Biological Process
A0A1D8NEN8	reciprocal meiotic recombination	Biological Process
A0A1D8NEN8	3'-5' exonuclease activity	Molecular Function
A0A1D8NEN8	telomere capping	Biological Process
A0A1D8NEN8	Mre11 complex	Cellular Component
A0A1D8NEN8	negative regulation of endodeoxyribonuclease activity	Biological Process
A0A1D8NEN8	DNA duplex unwinding	Biological Process
A0A1D8NEN8	maintenance of DNA trinucleotide repeats	Biological Process
A0A1D8NEN8	site of double-strand break	Cellular Component
A0A1D8NEN8	single-stranded telomeric DNA binding	Molecular Function
A0A1D8NEN8	metal ion binding	Molecular Function
A0A1D8NEN8	nucleoside monophosphate phosphorylation	Biological Process
A0A1D8NEN8	G-quadruplex DNA binding	Molecular Function
A0A1D8NEN8	chromosome organization involved in meiotic cell cycle	Biological Process
A0A1D8NEN8	nucleic acid phosphodiester bond hydrolysis	Biological Process
A0A1D8NEN8	mitochondrial double-strand break repair via homologous recombination	Biological Process
A0A1D8NAW1		
A0A1D8NIJ4		
A0A1D8NPE9		
A0A1D8NFJ3	mitotic cell cycle	Biological Process
A0A1D8NFJ3	"DNA-binding transcription factor activity, RNA polymerase II-specific"	Molecular Function
A0A1D8NFJ3	RNA polymerase II transcription regulator recruiting activity	Molecular Function
A0A1D8NFJ3	nucleus	Cellular Component
A0A1D8NFJ3	regulation of transcription by RNA polymerase II	Biological Process
A0A1D8NFJ3	cell differentiation	Biological Process
A0A1D8NFJ3	sequence-specific DNA binding	Molecular Function
A0A1D8NFJ3	transcription regulatory region DNA binding	Molecular Function
A0A1D8NFJ3	"positive regulation of transcription, DNA-templated"	Biological Process
A0A1D8NFL7	Elongator holoenzyme complex	Cellular Component
A0A1H6PK81	histidine biosynthetic process	Biological Process
A0A1H6PK81	imidazoleglycerol-phosphate dehydratase activity	Molecular Function
A0A1D8NN50		
A0A1H6PSV1	integral component of membrane	Cellular Component
A0A1H6PU77	endosome organization	Biological Process
A0A1H6PU77	BLOC-1 complex	Cellular Component
A0A1D8NIQ3		
A0A1D8N6E7	integral component of membrane	Cellular Component
A0A1H6Q825	intracellular	Cellular Component
A0A1H6Q825	intracellular protein transport	Biological Process
A0A1H6Q825	membrane	Cellular Component
A0A1D8NCM6	generation of catalytic spliceosome for first transesterification step	Biological Process
A0A1D8NCM6	Prp19 complex	Cellular Component
A0A1D8NCM6	prespliceosome	Cellular Component
A0A1D8NCM6	catalytic step 1 spliceosome	Cellular Component
A0A1D8NCM6	catalytic step 2 spliceosome	Cellular Component
A0A1D8NCM6	post-mRNA release spliceosomal complex	Cellular Component
A0A1D8NF53		
A0A1D8NBP3		
A0A1D8N7A2		
A0A1D8NNB6	3'-5'-exoribonuclease activity	Molecular Function
A0A1D8NNB6	exosome (RNase complex)	Cellular Component
A0A1D8NNB6	P-body	Cellular Component
A0A1D8NNB6	nucleic acid binding	Molecular Function
A0A1D8NNB6	rRNA processing	Biological Process
A0A1D8NNB6	RNA catabolic process	Biological Process
A0A1D8NNB6	pathogenesis	Biological Process
A0A1D8NNB6	evasion or tolerance of host immune response	Biological Process
A0A1D8NNB6	"RNA phosphodiester bond hydrolysis, exonucleolytic"	Biological Process
A0A1D8N8A3		
A0A1H6PQE2	protein serine/threonine kinase activity	Molecular Function
A0A1H6PQE2	ATP binding	Molecular Function
A0A1H6PQE2	nuclear pore	Cellular Component
A0A1H6PQE2	late endosome	Cellular Component
A0A1H6PQE2	protein phosphorylation	Biological Process
A0A1H6PQE2	protein targeting to vacuole	Biological Process
A0A1H6PQE2	macroautophagy	Biological Process
A0A1H6PQE2	autophagy of peroxisome	Biological Process
A0A1H6PQE2	"phosphatidylinositol 3-kinase complex, class III, type I"	Cellular Component
A0A1H6PQE2	"phosphatidylinositol 3-kinase complex, class III, type II"	Cellular Component
A0A1H6PQE2	late endosome to vacuole transport	Biological Process
A0A1H6PQE2	biological regulation	Biological Process
A0A1H6PQE2	nucleus-vacuole junction	Cellular Component
A0A1D8NCU9	DNA binding	Molecular Function
A0A1D8NCU9	regulation of transcription by RNA polymerase II	Biological Process
A0A1D8NCU9	transcription elongation from RNA polymerase II promoter	Biological Process
A0A1D8NCU9	histone modification	Biological Process
A0A1D8NCU9	Cdc73/Paf1 complex	Cellular Component
A0A1D8NCU9	regulation of protein modification process	Biological Process
A0A1D8NCU9	regulation of chromatin organization	Biological Process
A0A1D8NCU9	RNA polymerase II C-terminal domain phosphoserine binding	Molecular Function
A0A1D8N6Z7		
A0A1D8N718		
A0A1H6PXI4		
A0A1H6Q2A9	endomembrane system	Cellular Component
A0A1H6Q2A9	integral component of membrane	Cellular Component
A0A1D8NC58		
A0A1D8NKL3	biotin-[acetyl-CoA-carboxylase] ligase activity	Molecular Function
A0A1D8NKL3	protein biotinylation	Biological Process
A0A1D8NKL3	biotin-[pyruvate-carboxylase] ligase activity	Molecular Function
A0A1D8N988	glucosamine-6-phosphate deaminase activity	Molecular Function
A0A1D8N988	carbohydrate metabolic process	Biological Process
A0A1D8N988	N-acetylglucosamine metabolic process	Biological Process
A0A1D8NLJ2	triose-phosphate isomerase activity	Molecular Function
A0A1D8NLJ2	cytosol	Cellular Component
A0A1D8NLJ2	gluconeogenesis	Biological Process
A0A1D8NLJ2	glycolytic process	Biological Process
A0A1D8NLJ2	glycerol catabolic process	Biological Process
A0A1D8NLJ2	glyceraldehyde-3-phosphate biosynthetic process	Biological Process
A0A1H6PVZ8	replicative cell aging	Biological Process
A0A1H6PVZ8	invasive growth in response to glucose limitation	Biological Process
A0A1H6PVZ8	G protein-coupled receptor binding	Molecular Function
A0A1H6PVZ8	GTPase activity	Molecular Function
A0A1H6PVZ8	GTP binding	Molecular Function
A0A1H6PVZ8	heterotrimeric G-protein complex	Cellular Component
A0A1H6PVZ8	pseudohyphal growth	Biological Process
A0A1H6PVZ8	adenylate cyclase-activating G protein-coupled receptor signaling pathway	Biological Process
A0A1H6PVZ8	glucose mediated signaling pathway	Biological Process
A0A1H6PVZ8	ascospore formation	Biological Process
A0A1H6PVZ8	G-protein beta/gamma-subunit complex binding	Molecular Function
A0A1D8NCC2		
A0A1D8NJ30		
A0A1D8NM43		
A0A1D8N9A0	Golgi apparatus	Cellular Component
A0A1D8N9A0	plasma membrane	Cellular Component
A0A1D8N9A0	(1->6)-beta-D-glucan biosynthetic process	Biological Process
A0A1D8N9A0	glucosidase activity	Molecular Function
A0A1D8N9A0	transport vesicle	Cellular Component
A0A1D8N9A0	integral component of endoplasmic reticulum membrane	Cellular Component
A0A1D8N9A0	site of polarized growth	Cellular Component
A0A1D8N9A0	fungal-type cell wall organization	Biological Process
A0A1D8N9G4		
A0A1D8NQ98	sulfate assimilation	Biological Process
A0A1D8NQ98	"inositol-1,4-bisphosphate 1-phosphatase activity"	Molecular Function
A0A1D8NQ98	"3'(2'),5'-bisphosphate nucleotidase activity"	Molecular Function
A0A1D8NQ98	dephosphorylation	Biological Process
A0A1D8NQ98	phosphatidylinositol phosphorylation	Biological Process
A0A1D8NQ98	"inositol-1,3,4-trisphosphate 1-phosphatase activity"	Molecular Function
A0A1H6PJ98	RNA polymerase II proximal promoter sequence-specific DNA binding	Molecular Function
A0A1H6PJ98	"proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific"	Molecular Function
A0A1H6PJ98	nucleus	Cellular Component
A0A1H6PJ98	zinc ion binding	Molecular Function
A0A1H6PJ98	positive regulation of transcription from RNA polymerase II promoter by a nonfermentable carbon source	Biological Process
A0A1D8NQG2	integral component of membrane	Cellular Component
A0A1D8NQG2	transmembrane transport	Biological Process
A0A1D8N5X5		
A0A1H6Q9W6	translation elongation factor activity	Molecular Function
A0A1H6Q9W6	glutathione transferase activity	Molecular Function
A0A1H6Q9W6	nucleus	Cellular Component
A0A1H6Q9W6	cytoplasm	Cellular Component
A0A1H6Q9W6	translational elongation	Biological Process
A0A1H6Q9W6	glutathione metabolic process	Biological Process
A0A1D8N5X0	nucleic acid binding	Molecular Function
A0A1D8N732		
A0A1D8N998	ubiquitin-protein transferase activity	Molecular Function
A0A1D8N998	protein ubiquitination	Biological Process
A0A1D8N998	Cul3-RING ubiquitin ligase complex	Cellular Component
A0A1D8NI10	"N,N-dimethylaniline monooxygenase activity"	Molecular Function
A0A1D8NI10	integral component of membrane	Cellular Component
A0A1D8NI10	flavin adenine dinucleotide binding	Molecular Function
A0A1D8NI10	NADP binding	Molecular Function
A0A1D8NI10	oxidation-reduction process	Biological Process
A0A1H6PXG3	cytoplasm	Cellular Component
A0A1H6PXG3	peptidyl-lysine modification to peptidyl-hypusine	Biological Process
A0A1H6PXG3	deoxyhypusine synthase activity	Molecular Function
A0A1D8N734	FMN binding	Molecular Function
A0A1D8N734	oxidoreductase activity	Molecular Function
A0A1D8N734	oxidation-reduction process	Biological Process
A0A1D8NJ26		
A0A1D8N7I2	receptor-mediated endocytosis	Biological Process
A0A1D8N7I2	vesicle	Cellular Component
A0A1D8NB73	lipid metabolic process	Biological Process
A0A1D8NB73	regulation of signal transduction	Biological Process
A0A1D8NB73	membrane	Cellular Component
A0A1D8NB73	acylglycerol lipase activity	Molecular Function
A0A1H6PUK9	serine-type endopeptidase activity	Molecular Function
A0A1H6PUK9	proteolysis	Biological Process
A0A1D8NAC6	nuclear chromatin	Cellular Component
A0A1D8NAC6	DNA replication initiation	Biological Process
A0A1D8NAC6	DNA replication preinitiation complex	Cellular Component
A0A1D8NF81	carbonyl reductase (NADPH) activity	Molecular Function
A0A1D8NF81	mannitol 2-dehydrogenase (NADP+) activity	Molecular Function
A0A1D8NF81	oxidation-reduction process	Biological Process
A0A1D8NGS3		
A0A1D8N397		
A0A1H6PPI2		
A0A1D8NMQ3	"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	Biological Process
A0A1D8NMQ3	"endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	Biological Process
A0A1D8NMQ3	"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	Biological Process
A0A1D8NMQ3	nucleolus	Cellular Component
A0A1D8NMQ3	90S preribosome	Cellular Component
A0A1D8NMQ3	"preribosome, small subunit precursor"	Cellular Component
A0A1D8NMQ3	small-subunit processome	Cellular Component
A0A1H6PMT1	"vacuolar proton-transporting V-type ATPase, V0 domain"	Cellular Component
A0A1H6PMT1	fungal-type vacuole membrane	Cellular Component
A0A1H6PMT1	vacuolar acidification	Biological Process
A0A1H6PMT1	ATP synthesis coupled proton transport	Biological Process
A0A1H6PMT1	ATP hydrolysis coupled proton transport	Biological Process
A0A1H6PMT1	integral component of membrane	Cellular Component
A0A1H6PMT1	vacuolar proton-transporting V-type ATPase complex	Cellular Component
A0A1H6PMT1	"proton-transporting ATPase activity, rotational mechanism"	Molecular Function
A0A1H6PMT1	ATPase binding	Molecular Function
A0A1H6PMT1	vacuolar proton-transporting V-type ATPase complex assembly	Biological Process
A0A1H6PZ76	maturation of LSU-rRNA	Biological Process
A0A1H6PZ76	RNA binding	Molecular Function
A0A1H6PZ76	translation	Biological Process
A0A1H6PZ76	cytosolic large ribosomal subunit	Cellular Component
A0A1H6PZ76	90S preribosome	Cellular Component
A0A1D8N841	thiol-dependent ubiquitin-specific protease activity	Molecular Function
A0A1D8N841	intracellular	Cellular Component
A0A1D8N841	ubiquitin-dependent protein catabolic process	Biological Process
A0A1D8N841	protein deubiquitination	Biological Process
A0A1D8NHE8	plasma membrane	Cellular Component
A0A1D8NHE8	cellular bud neck	Cellular Component
A0A1D8NHE8	integral component of membrane	Cellular Component
A0A1D8NIU8	GPI anchor biosynthetic process	Biological Process
A0A1D8NIU8	integral component of membrane	Cellular Component
A0A1D8NIU8	phosphatidylinositol N-acetylglucosaminyltransferase activity	Molecular Function
A0A1D8NN05	integral component of membrane	Cellular Component
A0A1D8NPT7	nucleus	Cellular Component
A0A1H6PUW2	ATP binding	Molecular Function
A0A1H6PUW2	chaperonin-containing T-complex	Cellular Component
A0A1H6PUW2	'de novo' protein folding	Biological Process
A0A1H6PUW2	protein binding involved in protein folding	Molecular Function
A0A1H6PUW2	unfolded protein binding	Molecular Function
A0A1H6PUW2	chaperone-mediated protein folding	Biological Process
A0A1H6PZC1	oxidoreductase activity	Molecular Function
A0A1H6PZC1	oxidation-reduction process	Biological Process
A0A1D8N976		
A0A1D8NB98		
A0A1D8NHS3	glutamate dehydrogenase (NAD+) activity	Molecular Function
A0A1D8NHS3	integral component of membrane	Cellular Component
A0A1D8NHS3	glutamate catabolic process to 2-oxoglutarate	Biological Process
A0A1D8NHS3	oxidation-reduction process	Biological Process
A0A1H6Q0M3	mitochondrial matrix	Cellular Component
A0A1H6Q0M3	[4Fe-4S] cluster assembly	Biological Process
A0A1H6Q0M3	protein maturation by [4Fe-4S] cluster transfer	Biological Process
A0A1D8NE63	"transcription, DNA-templated"	Biological Process
A0A1D8NFB6		
A0A1D8NJY9		
A0A1D8NL33	resolution of meiotic recombination intermediates	Biological Process
A0A1D8NL33	nuclear chromatin	Cellular Component
A0A1D8NL33	double-strand break repair	Biological Process
A0A1D8NL33	crossover junction endodeoxyribonuclease activity	Molecular Function
A0A1D8NL33	replication fork processing	Biological Process
A0A1D8NL33	intra-S DNA damage checkpoint	Biological Process
A0A1D8NL33	Holliday junction resolvase complex	Cellular Component
A0A1D8NEM5	trans-Golgi network	Cellular Component
A0A1H6PMI9	carbohydrate metabolic process	Biological Process
A0A1H6PMI9	D-arabinitol 2-dehydrogenase activity	Molecular Function
A0A1H6PMI9	oxidation-reduction process	Biological Process
A0A1D8NJF3		
A0A1D8N9V6	mitochondrial inner membrane	Cellular Component
A0A1D8N9V6	integral component of peroxisomal membrane	Cellular Component
A0A1D8N9V6	mitochondrial transport	Biological Process
A0A1D8N9V6	ADP transport	Biological Process
A0A1D8N9V6	ATP transport	Biological Process
A0A1D8N9V6	transmembrane transporter activity	Molecular Function
A0A1D8N9V6	transmembrane transport	Biological Process
A0A1D8NKK2		
A0A1D8NFM7		
A0A1D8N7E5		
A0A1D8N915	"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay"	Biological Process
A0A1D8N915	P-body	Cellular Component
A0A1D8N915	nucleus	Cellular Component
A0A1D8N915	regulation of transcription by RNA polymerase II	Biological Process
A0A1D8N915	negative regulation of translation	Biological Process
A0A1D8N915	CCR4-NOT core complex	Cellular Component
A0A1D8N915	positive regulation of cellular process	Biological Process
A0A1D8N9N7	carbohydrate:proton symporter activity	Molecular Function
A0A1D8N9N7	glucose transmembrane transporter activity	Molecular Function
A0A1D8N9N7	integral component of membrane	Cellular Component
A0A1D8N9N7	glucose import	Biological Process
A0A1D8N9N7	proton transmembrane transport	Biological Process
A0A1H6QBD7	Golgi apparatus	Cellular Component
A0A1H6QBD7	"retrograde vesicle-mediated transport, Golgi to ER"	Biological Process
A0A1H6QBD7	integral component of membrane	Cellular Component
A0A1D8N814		
A0A1D8N568		
A0A1D8NHG7	intracellular part	Cellular Component
A0A1D8N591		
A0A1D8N595		
A0A1D8NAV7	integral component of membrane	Cellular Component
A0A1H6Q012	threonine-tRNA ligase activity	Molecular Function
A0A1H6Q012	ATP binding	Molecular Function
A0A1H6Q012	cytoplasm	Cellular Component
A0A1H6Q012	threonyl-tRNA aminoacylation	Biological Process
A0A1H6PSP5		
A0A1D8NKH0	magnesium-dependent protein serine/threonine phosphatase activity	Molecular Function
A0A1D8NKH0	protein binding	Molecular Function
A0A1D8NKH0	nucleus	Cellular Component
A0A1D8NKH0	protein dephosphorylation	Biological Process
A0A1D8NKH0	cellular sodium ion homeostasis	Biological Process
A0A1D8NKH0	extrinsic component of plasma membrane	Cellular Component
A0A1D8NKH0	cellular protein localization	Biological Process
A0A1D8NKH0	metal ion binding	Molecular Function
A0A1D8NKH0	cofactor binding	Molecular Function
